RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,MSP,OC,PERNP,PINCP,RAC1P,RC
P,2006000000000.00,1,1600,22,1098342,52,46,2,0,1,11,2,60000,1,1,3,0,60000,60000,1,0
P,2006000000000.00,1,1502,22,1098342,18,51,3,0,1,15,2,139000,1,1,4,0,139000,139000,1,0
P,2006000000000.00,1,1600,22,1098342,6,45,1,0,1,6,1,29600,1,1,1,0,29600,34900,1,0
P,2006000000000.00,2,1600,22,1098342,5,40,1,1,1,8,2,13200,1,1,1,0,13200,13200,1,0
P,2006000000000.00,3,1600,22,1098342,6,20,5,2,1,6,2,320,1,1,6,0,320,320,1,0
P,2006000000000.00,4,1600,22,1098342,5,13,5,2,2,3,1,,,1,,1,,,1,1
P,2006000000000.00,1,1402,22,1098342,26,33,5,0,1,12,1,25000,1,1,6,0,25000,25000,1,0
P,2006000000000.00,1,1300,22,1098342,20,40,5,13,1,6,1,0,6,1,6,0,0,0,2,0
P,2006000000000.00,1,1600,22,1098342,12,39,3,0,1,9,2,13700,1,1,4,0,13700,13700,1,0
P,2006000000000.00,2,1600,22,1098342,13,14,5,2,2,4,1,,,1,,1,,,1,1
P,2006000000000.00,1,1402,22,1098342,35,39,2,0,1,15,2,56000,1,1,3,0,56000,56000,1,0
P,2006000000000.00,2,1402,22,1098342,46,74,3,4,1,14,2,0,6,1,4,0,0,30000,1,0
P,2006000000000.00,1,1401,22,1098342,54,39,3,0,1,11,2,40000,1,1,4,0,40000,40000,1,0
P,2006000000000.00,2,1401,22,1098342,51,19,5,2,1,11,1,0,3,1,6,0,0,0,1,0
P,2006000000000.00,3,1401,22,1098342,59,11,5,2,2,2,1,,,1,,1,,,1,1
P,2006000000000.00,4,1401,22,1098342,55,9,5,2,2,2,2,,,1,,1,,,1,1
P,2006000000000.00,1,1402,22,1098342,15,57,3,0,1,1,1,17000,1,1,4,0,17000,19400,2,0
P,2006000000000.00,2,1402,22,1098342,21,27,5,2,1,9,2,13700,1,1,6,0,13700,13700,2,0
P,2006000000000.00,3,1402,22,1098342,18,18,5,2,2,7,1,250,3,1,6,0,250,250,2,0
P,2006000000000.00,4,1402,22,1098342,15,6,5,5,2,2,1,,,1,,0,,,2,1
P,2006000000000.00,5,1402,22,1098342,8,49,5,10,1,9,2,17700,1,1,6,0,17700,17700,2,0
P,2006000000000.00,1,1501,22,1098342,12,44,1,0,1,8,2,20400,6,1,1,0,20400,20400,2,0
P,2006000000000.00,2,1501,22,1098342,12,56,1,1,1,9,1,24000,1,1,1,0,24000,24000,2,0
P,2006000000000.00,3,1501,22,1098342,13,15,5,2,2,3,1,0,,1,6,1,,0,2,1
P,2006000000000.00,1,1300,22,1098342,6,37,1,0,1,9,1,32600,1,1,1,0,32600,32600,1,0
P,2006000000000.00,2,1300,22,1098342,8,35,1,1,1,9,2,2300,1,1,1,0,2300,2300,1,0
P,2006000000000.00,3,1300,22,1098342,8,9,5,2,3,2,2,,,1,,1,,,1,1
P,2006000000000.00,4,1300,22,1098342,8,6,5,2,3,2,2,,,1,,1,,,1,1
P,2006000000000.00,5,1300,22,1098342,12,3,5,2,1,1,1,,,1,,1,,,1,1
P,2006000000000.00,1,1502,22,1098342,27,83,3,0,1,15,1,0,6,1,4,0,0,151300,1,0
P,2006000000000.00,2,1502,22,1098342,35,68,3,12,1,11,2,0,6,1,4,0,0,7500,1,0
P,2006000000000.00,1,1300,22,1098342,11,75,1,14,1,9,1,0,6,1,2,0,0,28800,1,0
P,2006000000000.00,1,1501,22,1098342,11,32,4,0,1,9,2,0,1,1,5,0,5000,5000,2,0
P,2006000000000.00,2,1501,22,1098342,12,4,5,2,2,1,1,,,1,,1,,,2,1
P,2006000000000.00,1,1502,22,1098342,50,37,5,0,1,14,2,38000,1,1,6,0,38000,38000,1,0
P,2006000000000.00,2,1502,22,1098342,63,20,5,12,2,11,2,10400,1,1,6,0,10400,10400,2,0
P,2006000000000.00,1,1401,22,1098342,15,62,1,0,1,10,1,43000,1,1,1,0,43000,46600,1,0
P,2006000000000.00,2,1401,22,1098342,15,57,1,1,1,9,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,1,1300,22,1098342,58,43,5,0,1,9,2,3600,1,1,6,0,3600,6000,2,0
P,2006000000000.00,2,1300,22,1098342,97,24,5,2,1,9,2,9000,1,1,6,0,9000,9000,2,0
P,2006000000000.00,3,1300,22,1098342,52,13,5,2,2,4,2,,,1,,1,,,2,1
P,2006000000000.00,4,1300,22,1098342,62,8,5,2,2,2,1,,,1,,1,,,2,1
P,2006000000000.00,1,1402,22,1098342,20,60,3,0,1,10,2,115000,1,1,4,0,115000,115300,1,0
P,2006000000000.00,1,1600,22,1098342,25,27,1,0,1,13,1,32000,1,1,1,0,32000,32000,1,0
P,2006000000000.00,2,1600,22,1098342,21,30,1,1,1,9,2,0,6,1,1,0,0,300,1,0
P,2006000000000.00,3,1600,22,1098342,24,4,5,2,1,1,2,,,1,,1,,,1,1
P,2006000000000.00,1,1502,22,1098342,18,64,3,0,1,14,2,35000,1,1,4,0,35000,35000,1,0
P,2006000000000.00,1,1401,22,1098342,19,61,1,0,1,14,1,62000,1,1,1,0,62000,62470,2,0
P,2006000000000.00,2,1401,22,1098342,18,62,1,1,1,14,2,0,6,1,1,0,0,72400,2,0
P,2006000000000.00,1,1402,22,1098342,24,45,1,0,1,9,1,53000,1,1,1,0,53000,53000,1,0
P,2006000000000.00,2,1402,22,1098342,25,44,1,1,1,9,2,15000,1,1,1,0,15000,15000,1,0
P,2006000000000.00,3,1402,22,1098342,31,13,5,2,3,3,2,,,2,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,12,24,1,0,1,13,2,100,6,1,1,0,100,30100,1,0
P,2006000000000.00,2,1600,22,1098342,13,26,1,1,2,5,1,0,6,1,1,0,0,0,1,0
P,2006000000000.00,3,1600,22,1098342,13,1,5,2,,,1,,,1,,1,,,1,1
P,2006000000000.00,1,1300,22,1098342,5,41,1,0,1,9,1,40000,1,1,1,0,40000,40000,1,0
P,2006000000000.00,2,1300,22,1098342,3,53,1,1,1,9,2,25000,1,1,1,0,25000,25000,1,0
P,2006000000000.00,1,1300,22,1098342,10,67,1,0,1,11,1,0,6,1,1,0,0,20500,1,0
P,2006000000000.00,2,1300,22,1098342,9,56,1,1,1,9,2,24000,1,1,1,0,24000,24000,1,0
P,2006000000000.00,3,1300,22,1098342,7,53,5,2,1,9,1,0,6,1,6,0,0,7000,1,0
P,2006000000000.00,4,1300,22,1098342,11,25,5,2,1,10,1,16300,1,1,6,0,16300,16300,1,0
P,2006000000000.00,5,1300,22,1098342,10,20,5,2,1,9,1,20000,1,1,6,0,20000,20000,1,0
P,2006000000000.00,6,1300,22,1098342,11,53,3,7,1,9,1,0,6,2,4,0,0,5000,8,0
P,2006000000000.00,1,1600,22,1098342,25,68,1,0,1,9,2,0,6,1,1,0,0,15400,1,0
P,2006000000000.00,2,1600,22,1098342,25,73,1,1,1,9,1,0,6,1,1,0,0,20000,1,0
P,2006000000000.00,1,1300,22,1098342,21,36,5,13,1,7,1,0,6,1,6,0,0,0,2,0
P,2006000000000.00,1,1600,22,1098342,57,43,5,0,1,13,1,38000,1,1,6,0,38000,38000,1,0
P,2006000000000.00,1,1600,22,1098342,20,67,3,0,1,9,1,18000,6,1,4,0,18000,55000,1,0
P,2006000000000.00,1,1300,22,1098342,16,64,1,0,1,13,1,38000,1,1,1,0,38000,38000,1,0
P,2006000000000.00,2,1300,22,1098342,15,64,1,1,1,9,2,25000,1,1,1,0,25000,25000,1,0
P,2006000000000.00,1,1600,22,1098342,27,51,1,0,1,12,1,0,1,1,1,0,60000,72000,1,0
P,2006000000000.00,2,1600,22,1098342,29,45,1,1,1,13,2,17100,6,1,1,0,17100,17100,1,0
P,2006000000000.00,3,1600,22,1098342,30,7,5,2,2,2,2,,,1,,1,,,1,1
P,2006000000000.00,4,1600,22,1098342,30,0,5,2,,,1,,,1,,1,,,1,1
P,2006000000000.00,1,1501,22,1098342,13,88,1,0,1,5,1,0,6,1,1,0,0,16700,1,0
P,2006000000000.00,2,1501,22,1098342,15,80,1,1,1,6,2,0,6,1,1,0,0,14000,1,0
P,2006000000000.00,1,1300,22,1098342,3,55,1,0,1,10,1,22000,1,1,2,0,22000,22000,1,0
P,2006000000000.00,2,1300,22,1098342,5,20,5,2,2,11,1,2000,6,1,6,0,2000,2000,1,0
P,2006000000000.00,3,1300,22,1098342,3,16,5,2,3,6,2,0,6,1,6,1,0,0,1,1
P,2006000000000.00,4,1300,22,1098342,4,54,1,7,1,9,2,24000,1,1,2,0,24000,24000,1,0
P,2006000000000.00,1,1402,22,1098342,14,38,5,0,1,11,2,38500,1,1,6,0,38500,47800,1,0
P,2006000000000.00,1,1401,22,1098342,49,48,3,0,1,10,2,26000,1,1,4,0,26000,26000,1,0
P,2006000000000.00,2,1401,22,1098342,66,28,5,2,3,11,1,14000,1,1,6,0,14000,16400,1,0
P,2006000000000.00,3,1401,22,1098342,67,25,5,2,1,9,2,25000,1,1,6,0,25000,29804,1,0
P,2006000000000.00,1,1401,22,1098342,15,47,4,0,1,9,2,0,1,1,5,0,14500,14500,2,0
P,2006000000000.00,2,1401,22,1098342,22,22,5,2,1,11,1,0,1,1,6,0,25000,25000,2,0
P,2006000000000.00,1,1502,22,1098342,76,49,1,0,1,10,1,60000,1,1,1,0,60000,60000,2,0
P,2006000000000.00,2,1502,22,1098342,72,48,1,1,1,11,2,35000,1,1,1,0,35000,35000,2,0
P,2006000000000.00,3,1502,22,1098342,87,18,5,2,2,9,1,2000,3,1,6,0,2000,2000,2,0
P,2006000000000.00,1,1402,22,1098342,21,54,3,0,1,11,2,85000,1,1,4,0,85000,85000,1,0
P,2006000000000.00,1,1401,22,1098342,34,42,1,0,1,9,1,70000,1,1,1,0,70000,70000,1,0
P,2006000000000.00,2,1401,22,1098342,31,49,1,1,1,9,2,35000,1,1,1,0,35000,35000,1,0
P,2006000000000.00,1,1600,22,1098342,23,30,5,13,1,11,1,30000,6,1,6,0,30000,30000,2,0
P,2006000000000.00,1,1401,22,1098342,17,54,1,0,1,13,1,37400,1,1,1,0,37400,37400,1,0
P,2006000000000.00,2,1401,22,1098342,19,53,1,1,1,11,2,23300,1,1,1,0,23300,23300,1,0
P,2006000000000.00,1,1300,22,1098342,24,61,1,0,1,4,1,73000,1,1,1,0,73000,73000,1,0
P,2006000000000.00,2,1300,22,1098342,26,65,1,1,1,3,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,3,1300,22,1098342,34,7,5,5,2,1,2,,,1,,0,,,1,1
P,2006000000000.00,1,1501,22,1098342,29,41,5,0,1,5,2,30,3,1,6,0,30,30,2,0
P,2006000000000.00,2,1501,22,1098342,29,14,5,2,2,4,1,,,1,,1,,,2,1
P,2006000000000.00,3,1501,22,1098342,30,11,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,4,1501,22,1098342,29,7,5,2,2,2,1,,,1,,1,,,2,1
P,2006000000000.00,1,1401,22,1098342,30,28,3,0,2,13,2,19000,1,1,4,0,19000,19000,1,0
P,2006000000000.00,2,1401,22,1098342,32,7,5,2,2,1,2,,,1,,1,,,1,1
P,2006000000000.00,3,1401,22,1098342,32,5,5,2,2,1,2,,,1,,1,,,1,1
P,2006000000000.00,4,1401,22,1098342,32,0,5,2,,,2,,,1,,1,,,1,1
P,2006000000000.00,1,1501,22,1098342,23,43,5,0,2,11,1,6000,3,1,6,0,7000,7000,2,0
P,2006000000000.00,1,1501,22,1098342,47,30,5,0,2,11,2,7600,3,1,6,0,7600,7600,2,0
P,2006000000000.00,2,1501,22,1098342,47,8,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,3,1501,22,1098342,47,5,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,4,1501,22,1098342,39,4,5,2,2,1,2,,,1,,1,,,2,1
P,2006000000000.00,1,1501,22,1098342,29,45,5,0,1,13,2,9700,6,1,6,0,9700,22700,2,0
P,2006000000000.00,2,1501,22,1098342,35,13,5,2,2,4,1,,,1,,1,,,2,1
P,2006000000000.00,1,1402,22,1098342,20,58,3,0,1,9,2,0,1,1,4,0,40000,40000,1,0
P,2006000000000.00,1,1600,22,1098342,14,30,1,0,1,13,1,80000,1,1,1,0,80000,80000,1,0
P,2006000000000.00,2,1600,22,1098342,16,38,1,1,1,13,2,26000,3,1,1,0,26000,26000,1,0
P,2006000000000.00,3,1600,22,1098342,14,8,5,2,2,2,1,,,1,,1,,,1,1
P,2006000000000.00,4,1600,22,1098342,14,1,5,2,,,1,,,1,,1,,,1,1
P,2006000000000.00,5,1600,22,1098342,15,1,5,2,,,1,,,1,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,14,54,1,0,1,10,1,30000,1,1,1,0,30000,30000,1,0
P,2006000000000.00,2,1600,22,1098342,18,51,1,1,1,14,2,48000,1,1,1,0,48000,48000,1,0
P,2006000000000.00,3,1600,22,1098342,19,19,5,2,2,11,2,6800,6,1,6,0,6800,7650,1,0
P,2006000000000.00,1,1401,22,1098342,22,75,1,0,1,9,1,0,6,1,1,0,0,0,1,0
P,2006000000000.00,2,1401,22,1098342,22,74,1,1,1,9,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,1,1501,22,1098342,19,28,5,13,1,9,1,1400,6,1,6,0,1400,1400,2,0
P,2006000000000.00,1,1401,22,1098342,14,74,1,0,1,9,1,0,6,1,1,0,0,24030,1,0
P,2006000000000.00,2,1401,22,1098342,14,68,1,1,1,7,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,1,1600,22,1098342,20,73,1,0,1,9,1,0,6,1,1,0,0,24000,1,0
P,2006000000000.00,2,1600,22,1098342,17,69,1,1,1,7,2,0,6,1,1,0,0,3000,1,0
P,2006000000000.00,1,1300,22,1098342,5,53,1,0,1,9,1,0,6,1,1,0,0,29500,1,0
P,2006000000000.00,2,1300,22,1098342,3,48,1,1,2,9,2,18700,1,1,1,0,18700,18700,1,0
P,2006000000000.00,1,1300,22,1098342,8,31,1,0,1,9,2,39000,1,1,1,0,39000,39000,1,0
P,2006000000000.00,2,1300,22,1098342,9,42,1,1,1,9,1,0,1,1,1,0,14400,14400,1,0
P,2006000000000.00,3,1300,22,1098342,17,18,5,2,3,7,1,0,6,1,6,0,0,0,1,0
P,2006000000000.00,1,1402,22,1098342,16,50,1,0,1,13,1,150000,1,1,1,0,270000,270000,1,0
P,2006000000000.00,2,1402,22,1098342,20,46,1,1,1,12,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,3,1402,22,1098342,24,21,5,2,2,9,2,6000,6,1,6,0,6000,6000,1,0
P,2006000000000.00,1,1401,22,1098342,43,30,5,0,1,9,2,17000,1,1,6,0,17000,17000,2,0
P,2006000000000.00,2,1401,22,1098342,48,10,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,3,1401,22,1098342,47,5,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,4,1401,22,1098342,48,3,5,2,1,1,1,,,1,,1,,,2,1
P,2006000000000.00,1,1502,22,1098342,67,24,5,0,1,13,1,18200,1,1,6,0,18200,18200,1,0
P,2006000000000.00,1,1401,22,1098342,19,48,3,0,1,11,1,50000,1,1,4,0,50000,50000,1,0
P,2006000000000.00,1,1300,22,1098342,18,54,1,0,1,9,1,15000,1,1,1,0,15000,15000,1,0
P,2006000000000.00,2,1300,22,1098342,16,52,1,1,1,9,2,5300,6,1,1,0,5300,5300,1,0
P,2006000000000.00,1,1401,22,1098342,10,52,3,0,1,13,2,28000,1,1,4,0,28000,30000,2,0
P,2006000000000.00,2,1401,22,1098342,14,31,5,2,1,9,1,8000,1,1,6,0,8000,8300,2,0
P,2006000000000.00,3,1401,22,1098342,14,28,5,2,1,12,2,5100,1,1,6,0,5100,5100,2,0
P,2006000000000.00,4,1401,22,1098342,18,23,5,2,1,9,1,15000,1,1,6,0,15000,15750,2,0
P,2006000000000.00,1,1600,22,1098342,26,28,1,0,1,9,1,49000,1,1,1,0,49000,49000,1,0
P,2006000000000.00,2,1600,22,1098342,24,27,1,1,1,9,2,8000,1,1,1,0,8000,8000,1,0
P,2006000000000.00,3,1600,22,1098342,26,5,5,2,2,1,2,,,1,,1,,,1,1
P,2006000000000.00,1,1300,22,1098342,15,37,5,13,2,5,1,16000,6,1,6,0,16000,16000,2,0
P,2006000000000.00,1,1401,22,1098342,47,51,3,0,1,9,2,0,1,1,4,0,30000,30000,2,0
P,2006000000000.00,1,1402,22,1098342,35,54,3,0,1,9,1,39000,1,1,4,0,39000,39000,2,0
P,2006000000000.00,1,1402,22,1098342,21,42,1,0,1,9,1,0,1,1,1,0,-9999,-9999,1,0
P,2006000000000.00,2,1402,22,1098342,21,55,1,1,1,9,2,20900,1,1,1,0,20900,20900,1,0
P,2006000000000.00,1,1401,22,1098342,15,88,1,0,1,9,1,0,6,1,1,0,0,14500,1,0
P,2006000000000.00,2,1401,22,1098342,14,79,1,1,1,9,2,0,6,1,1,0,0,17500,1,0
P,2006000000000.00,1,1600,22,1098342,22,63,1,0,1,10,1,0,6,1,1,0,0,13100,1,0
P,2006000000000.00,2,1600,22,1098342,21,61,1,1,1,9,2,0,6,1,1,0,0,1600,1,0
P,2006000000000.00,1,1300,22,1098342,16,58,1,0,1,8,1,49000,1,1,1,0,49000,49000,1,0
P,2006000000000.00,2,1300,22,1098342,17,59,1,1,1,9,2,0,6,1,1,0,0,20200,1,0
P,2006000000000.00,1,1502,22,1098342,15,41,1,0,2,14,1,0,6,1,1,0,0,13500,1,0
P,2006000000000.00,2,1502,22,1098342,16,43,1,1,1,14,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,3,1502,22,1098342,17,9,5,2,2,1,2,,,1,,1,,,1,1
P,2006000000000.00,4,1502,22,1098342,16,3,5,2,2,1,1,,,1,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,25,42,5,0,1,14,2,43500,1,1,6,0,43500,43500,1,0
P,2006000000000.00,2,1600,22,1098342,36,73,3,4,1,11,2,0,6,1,4,0,0,18800,1,0
P,2006000000000.00,1,1402,22,1098342,19,56,1,0,1,14,2,49000,1,1,1,0,49000,49000,1,0
P,2006000000000.00,2,1402,22,1098342,23,55,1,1,1,11,1,0,1,1,1,0,18000,18000,1,0
P,2006000000000.00,3,1402,22,1098342,24,26,5,2,1,14,2,10000,1,1,6,0,10000,10000,1,0
P,2006000000000.00,1,1502,22,1098342,21,25,5,0,1,14,1,71000,1,1,6,0,71000,71500,1,0
P,2006000000000.00,1,1402,22,1098342,25,59,1,0,1,14,1,25000,1,1,1,0,26000,173000,1,0
P,2006000000000.00,2,1402,22,1098342,24,59,1,1,1,13,2,1000,6,1,1,0,1000,1000,1,0
P,2006000000000.00,1,1501,22,1098342,42,56,1,0,1,9,1,0,6,1,1,0,0,32200,2,0
P,2006000000000.00,2,1501,22,1098342,40,53,1,1,1,9,2,13000,1,1,1,0,13000,13000,2,0
P,2006000000000.00,3,1501,22,1098342,61,21,5,2,2,11,2,8700,1,1,6,0,8700,8700,2,0
P,2006000000000.00,1,1600,22,1098342,18,49,1,0,1,11,1,30100,1,1,1,0,30100,30100,1,0
P,2006000000000.00,2,1600,22,1098342,17,41,1,1,1,11,2,20000,1,1,1,0,20000,24400,1,0
P,2006000000000.00,3,1600,22,1098342,18,17,5,2,2,7,2,330,6,1,6,1,330,330,1,1
P,2006000000000.00,4,1600,22,1098342,16,12,5,2,2,3,2,,,1,,1,,,1,1
P,2006000000000.00,1,1300,22,1098342,20,40,5,13,1,8,1,0,6,1,6,0,0,1800,2,0
P,2006000000000.00,1,1401,22,1098342,34,40,1,0,1,11,1,52000,1,1,1,0,52000,52000,2,0
P,2006000000000.00,2,1401,22,1098342,32,40,1,1,1,11,2,240,1,1,1,0,240,240,2,0
P,2006000000000.00,3,1401,22,1098342,37,17,5,2,1,7,1,2000,1,1,6,1,2000,2000,2,1
P,2006000000000.00,4,1401,22,1098342,34,15,5,2,1,5,2,0,,1,6,1,,0,2,1
P,2006000000000.00,5,1401,22,1098342,35,6,5,2,1,2,1,,,1,,1,,,2,1
P,2006000000000.00,6,1401,22,1098342,35,5,5,2,1,2,2,,,1,,1,,,2,1
P,2006000000000.00,1,1401,22,1098342,28,36,1,0,1,9,2,28000,1,1,1,0,28000,28000,2,0
P,2006000000000.00,2,1401,22,1098342,28,36,1,1,1,10,1,48000,1,1,1,0,48000,48000,2,0
P,2006000000000.00,3,1401,22,1098342,31,14,5,2,2,4,2,,,1,,1,,,2,1
P,2006000000000.00,1,1300,22,1098342,18,60,1,0,1,10,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,2,1300,22,1098342,19,55,1,1,1,9,1,48000,1,1,1,0,48000,48000,1,0
P,2006000000000.00,3,1300,22,1098342,16,24,5,2,1,9,1,8300,1,1,6,0,8300,8300,1,0
P,2006000000000.00,1,1501,22,1098342,41,27,5,0,3,11,2,7500,1,1,6,0,7500,7500,2,0
P,2006000000000.00,2,1501,22,1098342,53,9,5,2,2,2,2,,,1,,1,,,2,1
P,2006000000000.00,3,1501,22,1098342,46,2,5,2,,,2,,,1,,1,,,2,1
P,2006000000000.00,4,1501,22,1098342,45,39,4,10,1,9,2,25000,1,1,5,0,25000,25000,2,0
P,2006000000000.00,1,1502,22,1098342,10,32,5,0,2,15,2,3000,2,1,6,0,7500,22750,1,0
P,2006000000000.00,2,1502,22,1098342,7,29,5,10,2,14,2,5000,6,1,6,0,5000,5400,1,0
P,2006000000000.00,1,1300,22,1098342,8,33,1,0,1,9,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,2,1300,22,1098342,10,36,1,1,1,6,1,50000,1,1,1,0,50000,50000,1,0
P,2006000000000.00,3,1300,22,1098342,12,6,5,2,3,2,1,,,1,,1,,,1,1
P,2006000000000.00,1,1401,22,1098342,37,70,1,0,1,13,1,32000,6,1,1,0,32000,65600,1,0
P,2006000000000.00,2,1401,22,1098342,41,67,1,1,1,9,2,0,6,1,1,0,0,4800,1,0
P,2006000000000.00,1,1401,22,1098342,21,52,3,0,1,11,2,38000,1,1,4,0,38000,38000,1,0
P,2006000000000.00,2,1401,22,1098342,21,46,3,10,1,9,1,38000,1,1,4,0,38000,38000,1,0
P,2006000000000.00,1,1300,22,1098342,6,37,1,0,1,9,2,24300,1,1,1,0,24300,24300,1,0
P,2006000000000.00,2,1300,22,1098342,11,33,1,1,1,9,1,20900,1,1,1,0,20900,30800,1,0
P,2006000000000.00,3,1300,22,1098342,14,4,5,2,1,1,2,,,1,,1,,,1,1
P,2006000000000.00,4,1300,22,1098342,13,2,5,2,,,2,,,1,,1,,,1,1
P,2006000000000.00,5,1300,22,1098342,11,39,5,3,1,11,2,0,6,1,6,0,0,18500,1,0
P,2006000000000.00,6,1300,22,1098342,12,31,5,3,1,11,2,22900,1,1,6,0,22900,22900,1,0
P,2006000000000.00,1,1501,22,1098342,34,25,5,0,1,11,2,23000,1,1,6,0,23000,23000,2,0
P,2006000000000.00,1,1300,22,1098342,32,55,1,0,1,13,1,55000,1,1,1,0,55000,55000,1,0
P,2006000000000.00,2,1300,22,1098342,25,50,1,1,1,14,2,68000,1,1,1,0,68000,68000,1,0
P,2006000000000.00,1,1402,22,1098342,23,62,3,0,1,13,1,0,1,1,4,0,36000,41300,1,0
P,2006000000000.00,1,1600,22,1098342,31,34,1,0,1,13,2,62000,1,1,1,0,62000,62000,1,0
P,2006000000000.00,2,1600,22,1098342,32,42,1,1,1,11,1,65000,1,1,1,0,65000,65000,1,0
P,2006000000000.00,3,1600,22,1098342,33,5,5,2,3,2,2,,,1,,1,,,1,1
P,2006000000000.00,4,1600,22,1098342,33,2,5,2,,,1,,,1,,1,,,1,1
P,2006000000000.00,1,1600,22,1098342,21,56,1,0,1,11,1,75000,1,1,1,0,75000,75400,1,0
P,2006000000000.00,2,1600,22,1098342,21,49,1,1,1,9,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,1,1402,22,1098342,17,47,3,0,1,12,2,53000,1,1,4,0,53000,54000,1,0
P,2006000000000.00,1,1501,22,1098342,13,75,2,0,1,3,1,0,6,1,3,0,0,6000,2,0
P,2006000000000.00,1,1501,22,1098342,21,45,5,0,1,8,1,0,3,1,6,0,2000,2000,2,0
P,2006000000000.00,2,1501,22,1098342,26,40,5,9,1,9,2,0,6,1,6,0,0,0,2,0
P,2006000000000.00,1,1402,22,1098342,9,63,2,0,1,9,2,0,6,24,3,0,0,10000,1,0
P,2006000000000.00,1,1401,22,1098342,21,58,1,0,1,13,1,52000,1,1,1,0,52000,52000,1,0
P,2006000000000.00,2,1401,22,1098342,22,53,1,1,1,9,2,35000,1,1,1,0,35000,35000,1,0
P,2006000000000.00,1,1300,22,1098342,17,28,5,13,1,7,1,250,6,1,6,0,250,250,2,0
P,2006000000000.00,1,1402,22,1098342,16,68,1,0,1,15,1,0,1,1,1,0,110000,174000,1,0
P,2006000000000.00,2,1402,22,1098342,17,61,1,1,1,13,2,0,1,1,1,0,60000,110000,1,0
P,2006000000000.00,1,1402,22,1098342,25,44,1,0,1,14,1,272000,1,1,1,0,272000,297000,1,0
P,2006000000000.00,2,1402,22,1098342,26,44,1,1,1,14,2,0,6,1,1,0,0,0,1,0
P,2006000000000.00,3,1402,22,1098342,27,14,5,2,3,4,2,,,1,,1,,,1,1
P,2006000000000.00,4,1402,22,1098342,27,12,5,2,3,3,2,,,1,,1,,,1,1
P,2006000000000.00,5,1402,22,1098342,25,9,5,2,3,1,1,,,1,,1,,,1,1
P,2006000000000.00,1,1501,22,1098342,14,44,3,0,1,10,2,13000,1,1,4,0,13000,13000,2,0
P,2006000000000.00,2,1501,22,1098342,23,22,5,2,1,9,1,10000,3,1,6,0,10000,10000,2,0
P,2006000000000.00,3,1501,22,1098342,14,17,5,2,2,6,1,140,6,1,6,1,140,140,2,1
P,2006000000000.00,4,1501,22,1098342,13,35,5,10,1,7,1,11000,1,1,6,0,11000,11000,2,0
P,2006000000000.00,1,1401,22,1098342,26,45,1,0,2,11,2,42800,1,1,1,0,42800,42800,1,0
P,2006000000000.00,2,1401,22,1098342,29,47,1,1,1,10,1,55000,1,1,1,0,55000,55000,1,0
P,2006000000000.00,3,1401,22,1098342,38,26,1,2,1,11,1,35000,1,1,1,0,35000,35000,1,0
P,2006000000000.00,4,1401,22,1098342,26,2,5,5,,,1,,,1,,0,,,1,1
P,2006000000000.00,5,1401,22,1098342,26,0,5,5,,,1,,,1,,0,,,1,1
P,2006000000000.00,6,1401,22,1098342,35,25,1,6,1,10,2,2000,1,1,1,0,2000,11600,1,0
P,2006000000000.00,1,1300,22,1098342,11,44,1,0,1,9,1,0,6,1,1,0,0,18200,1,0
P,2006000000000.00,2,1300,22,1098342,14,43,1,1,1,10,2,33000,1,1,1,0,33000,33000,1,0
P,2006000000000.00,3,1300,22,1098342,12,11,5,2,2,3,2,,,1,,1,,,1,1
P,2006000000000.00,1,1401,22,1098342,14,53,1,0,1,11,2,3500,6,1,1,0,3500,3500,2,0
P,2006000000000.00,2,1401,22,1098342,16,54,1,1,1,9,1,29200,3,1,1,0,29200,29200,2,0
P,2006000000000.00,3,1401,22,1098342,15,17,5,2,2,7,2,5000,1,1,6,1,5000,5000,2,1
P,2006000000000.00,1,1300,22,1098342,20,51,1,0,1,13,1,65000,1,1,1,0,65000,66000,1,0
P,2006000000000.00,2,1300,22,1098342,22,48,1,1,1,12,2,85000,1,1,1,0,85000,85000,1,0
P,2006000000000.00,3,1300,22,1098342,73,25,5,2,1,9,1,30000,1,1,6,0,30000,30000,1,0
P,2006000000000.00,4,1300,22,1098342,19,14,5,2,3,4,2,,,1,,1,,,1,1
